text,label
"Since domain configuration settings control many of the interactions within the Active Directory  environment, there are a great number of potential attacks that can stem from this abuse.",1
"Google results links books Amazon.com, Internet Movie Database, Google Images, GuruNet.com, plus site information, including similar links others followed.",0
Gold Dragon encrypts data using Base64 before being sent to the command and control server.,1
"Remember Neo #39;s dilemma Matrix? Morpheus offers two views reality, extending blue pill left hand red one right.",0
"COM payloads executed by verclsid.exe may be able to perform various malicious actions, such as loading and executing COM scriptlets  from remote servers .",1
progress new internet domains early 2005 net could two new domain names. .post .travel net domains given preliminary approval net administrative body. names two total 10 proposed domains considered internet corporation assigned names numbers icann. proposed names include domain pornography asia mobile phones anti-spam domain one catalan language culture. .post domain backed universal postal union wants use online marker every type postal service help co-ordinate e-commerce efforts national post offices. .travel domain would used hotels travel firms airlines tourism offices would help organisations distinguish online. backed new york-based trade group called travel partnership. icann said early decision two domains response detailed technical commercial information organisations behind names submitted. despite initial approval icann cautioned guarantee domains would actually go service. time icann considering proposals another eight domains. one may win approval proposal set .xxx domain pornographic websites. similar proposal made many times past. icann reluctant approve difficulty making pornographers sign use it. 2000 icann approved seven new domains varying degrees success. three new so-called top level domains specific industries organisations .museum .aero. others .info .biz intended generic. total excess 200 domain names majority nations. domains end .com suffix far numerous.,0
BADCALL uses a FakeTLS method during C2.,1
4H RAT has the capability to create a remote shell.,1
"NEW YORK first glance, might seem like simple extension standard tool fight bad guys. fact, wiretapping Internet phones monitor criminals terrorists costly",0
 Go2Assist ,1
Sandworm Team has used move to transfer files to a network share.,1
PC giant also wants supplier high-end home electronics. Also: desktop gets bolted together.,0
Cardinal RAT can act as a reverse proxy.,1
Adversaries may search network shares on computers they have compromised to find files of interest.,1
LockerGoga has been observed changing account passwords and logging off current users.,1
Ramsay can scan for network drives which may contain documents for collection.,1
Comnie runs the command: net start >> %TEMP%\info.dat on a victim.,1
"Arctic Council, international group northern nations, says global warming blessing curse. group #39;s report, four years making set Nov.",0
APT29 has used compromised identities to access VPNs and remote access tools.,1
"AOL Properties Sign Girafa Thumbnail Search Images\\Girafa.com Inc. announced today CompuServe, Netscape, AIM ICQ properties America Online, Inc., signed agreement Girafa use Girafa's thumbnail search images integrated part search results.\\Using Girafa's thumbnail search service, search users ...",0
I.B.M. said agreed pay \$320 million employees settle part class-action lawsuit pension plan.,0
Adversaries may choose to do this if they have sufficient access and proximity.,1
"may eat flies stink high heaven, robot works, important step towards making robots fully autonomous.",0
warnings woeful wi-fi security companies getting worse keeping wireless data networks secure. survey wi-fi networks london frankfurt new york san francisco rsa security found third basic security features turned off. contrast last year survey found 15% firms failed take basic steps improve security. rsa warned wi-fi growing popularity made much likely insecure networks would found exploited. wireless wi-fi networks become hugely popular last years offices easy set make going online much convenient. popularity shows sign slowing reveals annual rsa security netsurity survey found annual 66% growth rate number wireless nets installed london frankfurt. although firms take steps turn security functions built wi-fi standard protect attack survey found significant proportion taking unnecessary risks. average 33% wireless networks found rsa netsurity researchers london frankfurt new york san francisco used basic security systems. many firms simply turning wireless net access points use default settings anyone familiar wi-fi could easily find out. rsa said 26% wi-fi networks found london used default settings compared 30% frankfurt 31% new york 28% san francisco. many users wi-fi nets even turn encryption scrambles data traffic users access point helping go online. despite series stories warning firms dangers drive-by hacking computer criminals walk drive around city centres using easy use tools spot wi-fi nets. figures another stark warning unsecured businesses get act together said phil cracknell chief technology officer netsurity. public wi-fi hotspots appear people become familiar using getting likely insecure would found warned mr cracknell. accidental intentional connection corporate network bring series security issues including loss confidential data installation malicious code said.,0
An OAuth access token enables a third-party application to interact with resources containing user data in the ways requested by the application without obtaining user credentials.,1
"Like other Execution Guardrails, environmental keying can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within.",1
 Get-NetForestTrust ,1
"Reuters - world's advanced\military powers using Internet spy enemies\and prepare digital attacks rogue targets, leading\cyber security expert said Friday.",0
"NEC unveiled latest supercomputer, almost twice fast BlueGene/L machine rolled IBM September.",0
"Cadelspy’s main payload contains its back door functionality, allowing the threat to carry out the following activities:  Log keystrokes and the titles of open windows Gather clipboard data and system information Steal printer information and any documents that were sent to be printed Record audio Capture screenshots and webcam photos  Cadelspy compresses all of the stolen data into a .cab file and uploads it to the attacker’s C&C servers",1
